A. Meredith Walters,"Maggie Young had the market on normal. Normal friends, normal parents, normal grades.. normal life. Until him.   Clayton Reed was running from his past and an army of personal demons that threatened to take him down. He never thought he had a chance at happiness. Until her. Maggie thought their love could overcome anything. Clay thought she was all he needed to fix his messy life. That together, they could face the world. But the darkness is always waiting. Sometimes the greatest obstacle to true love is within yourself.",,290 pages,3.97,1996,Find You in the Dark,Romance|New Adult|Young Adult|Contemporary|Romance|Contemporary Romance,https://images.gr-assets.com/books/1359627731l/16081754.jpg
A. Meredith Walters,"How do you keep going when you feel like your life is over?Maggie never thought she’d see Clay again. So, she attempts to put her life back together after her heart has been shattered to pieces. Moving on and moving forward, just as Clay wanted her to.Clay never stopped thinking of Maggie. Even after ripping their lives apart and leaving her behind to get the help he so desperately needed. He is healing...slowly. But his heart still belongs to the girl who tried to save him.When a sudden tragedy brings Maggie and Clay face to face again, nothing is the same. Yet some things never change. Can the darkness that threatened to consume them be transformed into something else and finally give them what they always wanted? And can two people who fought so hard to be together, finally find their happiness? Or will their demons and fear drive them apart for good?The thing about love, is even when it destroys you, it has a way of mending what is broken. And in the shadows, you can still see the light.",,318 pages,4.22,1290,Light in the Shadows,Romance|New Adult|Young Adult|Contemporary|Romance|Contemporary Romance,https://images.gr-assets.com/books/1359612980l/17155039.jpg
A. Meredith Walters," ""Who gives a damn about their reputation? Oh, that would be me! Especially since mine had gone straight to hell in the span of thirty minutes"". Maysie Ardin is soaking up the summer before her junior year of college, shopping, hanging by the pool and shopping some more. But when her black belt in spending lands her in trouble with her parents, she is forced to take a second job at a local bar to dig herself out of a deep financial pit.She thought she’d be miserable. But then Maysie didn’t count on Jordan Levitt, the hot, pierced and tattooed, drum playing bartender who also happens to be very interested in her. And the feelings are totally mutual.It had the makings of the perfect romantic set up. Boy meets girl. Boy likes girl. Boy has girlfriend? Okay, maybe not.But attraction is a hard thing to ignore and soon Jordan and Maysie find themselves in the middle of a gossip induced firestorm. Maysie has to learn whether she can set aside her fear of public disapproval in order to be with the one she wants. Or will she let the opinions of others dictate her life and her heart?",,444 pages,3.9,1220,Bad Rep,New Adult|Romance|Academic|College|Contemporary|Romance|Contemporary Romance,https://images.gr-assets.com/books/1351282857l/16102880.jpg
A.A. Milne|Ernest H. Shepard,"Winnie-the-Pooh, the Best Bear in All the World, has long been adored by readers young and old. In this beautiful full-color gift edition of ""The House at Pooh Corner, "" Ernest H. Shepard's classic illustrations have been painstakingly hand-colored. An exquisite volume and the perfect gift for any occasion, this book is as vivid and charming as the beloved characters from the Hundred Acre Wood.",9780530000000,180 pages,4.36,1064,The House at Pooh Corner,Childrens|Fiction|Classics,https://images.gr-assets.com/books/1348195621l/776407.jpg
A.A. Milne|Ernest H. Shepard,"The Bear of Very Little Brain and his friends from the Hundred Acre Wood have delighted generations of readers since Winnie-the-Pooh was first published in 1926.Back by popular demand, the four full-color gift editions of the original Pooh classics are available again. These elegant books, larger in format than the classic editions, include all of Ernest H. Shepard's illustrations, each meticulously hand-painted in delicate watercolors.Here are the two great storybooks chronicling the adventures of Christopher Robin and all the inhabitants of the Hundred Acre Wood, as well as the two charming volumes of poems. Bright in color and true in spirit, these are books for giving--To Pooh fans of all ages.",9780530000000,145 pages,4.34,3617,Winnie-the-Pooh,Classics|Childrens|Fiction,https://images.gr-assets.com/books/1298440130l/99107.jpg
A.G. Howard,"In this modern day spin on Leroux’s gothic tale of unrequited love turned to madness, seventeen-year-old Rune Germain has a mysterious affliction linked to her operatic talent, and a horrifying mistake she’s trying to hide. Hoping creative direction will help her, Rune’s mother sends her to a French arts conservatory for her senior year, located in an opera house rumored to have ties to The Phantom of the Opera. At RoseBlood, Rune secretly befriends the masked Thorn—an elusive violinist who not only guides her musical transformation through dreams that seem more real than reality itself, but somehow knows who she is behind her own masks. As the two discover an otherworldly connection and a soul-deep romance blossoms, Thorn’s dark agenda comes to light and he’s forced to make a deadly choice: lead Rune to her destruction, or face the wrath of the phantom who has haunted the opera house for a century, and is the only father he’s ever known.",9781420000000,432 pages,3.37,1551,RoseBlood,Fantasy|Young Adult|Retellings|Romance,https://images.gr-assets.com/books/1457527657l/28818314.jpg
A.G. Howard,"Alyssa Gardner hears the whispers of bugs and flowers—precisely the affliction that landed her mother in a mental hospital years before. This family curse stretches back to her ancestor Alice Liddell, the real-life inspiration for Lewis Carroll’s Alice’s Adventures in Wonderland. Alyssa might be crazy, but she manages to keep it together. For now.When her mother’s mental health takes a turn for the worse, Alyssa learns that what she thought was fiction is based in terrifying reality. The real Wonderland is a place far darker and more twisted than Lewis Carroll ever let on. There, Alyssa must pass a series of tests, including draining an ocean of Alice’s tears, waking the slumbering tea party, and subduing a vicious bandersnatch, to fix Alice’s mistakes and save her family. She must also decide whom to trust: Jeb, her gorgeous best friend and secret crush, or the sexy but suspicious Morpheus, her guide through Wonderland, who may have dark motives of his own.",9781420000000,371 pages,3.95,7097,Splintered,Fantasy|Young Adult|Romance|Retellings,https://images.gr-assets.com/books/1340134213l/12558285.jpg
A.G. Howard,"Alyssa Gardner has been down the rabbit hole and faced the bandersnatch. She saved the life of Jeb, the guy she loves, and escaped the machinations of the disturbingly seductive Morpheus and the vindictive Queen Red. Now all she has to do is graduate high school and make it through prom so she can attend the prestigious art school in London she's always dreamed of. That would be easier without her mother, freshly released from an asylum, acting overly protective and suspicious. And it would be much simpler if the mysterious Morpheus didn’t show up for school one day to tempt her with another dangerous quest in the dark, challenging Wonderland—where she (partly) belongs. As prom and graduation creep closer, Alyssa juggles Morpheus’s unsettling presence in her real world with trying to tell Jeb the truth about a past he’s forgotten. Glimpses of Wonderland start to bleed through her art and into her world in very disturbing ways, and Morpheus warns that Queen Red won’t be far behind. If Alyssa stays in the human realm, she could endanger Jeb, her parents, and everyone she loves. But if she steps through the rabbit hole again, she'll face a deadly battle that could cost more than just her head.",9781610000000,387 pages,4.24,2561,Unhinged,Fantasy|Young Adult|Romance|Retellings,https://images.gr-assets.com/books/1366994000l/17449197.jpg
A.G. Howard,"After surviving a disastrous battle at prom, Alyssa has embraced her madness and gained perspective. She's determined to rescue her two worlds and the people and netherlings she loves. Even if it means challenging Queen Red to a final battle of wills and wiles . . . and even if the only way to Wonderland, now that the rabbit hole is closed, is through the looking-glass world--a parallel dimension filled with mutated and violent netherling outcasts. In the final installment of the wildly popular Splintered trilogy, Alyssa and her dad journey into the heart of magic and mayhem in search of her mom and to set right all that's gone wrong. Together with Jeb and Morpheus, they must salvage Wonderland from the decay and destruction that has ensnared it. But if they succeed and come out alive, can everyone truly have their happily ever after?",,420 pages,4.23,1951,Ensnared,Fantasy|Young Adult|Romance|Retellings,https://images.gr-assets.com/books/1437455636l/22447220.jpg
A.G. Riddle,"THE GREATEST MYSTERY OF ALL TIME… THE HISTORY OF HUMAN ORIGINS… WILL BE REVEALED.————————————70,000 years ago, the human race almost went extinct.We survived, but no one knows how. Until now.The countdown to the next stage of human evolution is about to begin, and humanity may not survive this time.————————————The Immari are good at keeping secrets. For 2,000 years, they have hidden the truth about human evolution. And they’ve searched for an ancient enemy — a threat that could wipe out the human race. Now the search is over.Off the coast of Antarctica, a research vessel has discovered a mysterious structure buried deep in an iceberg. It’s been there for thousands of years, and it isn’t man made. The Immari think they know what it is, but they aren’t taking any chances. The time has come to execute their master plan: humanity must evolve or perish. In a lab in Indonesia, a brilliant geneticist may have just discovered the key to their plan.Four years ago, Dr. Kate Warner left California for Jakarta, Indonesia to escape her past. She hasn’t recovered from what happened to her, but she has made an incredible discovery: a cure for autism. Or so she thinks. What she’s found is actually far more dangerous. Her research could rewrite human history and unleash the next stage of human evolution. In the hands of the Immari, it would mean the end of humanity as we know it.One man has seen pieces of the Immari conspiracy: Agent David Vale. But he’s out of time to stop it. His informant is dead. His organization has been infiltrated. His enemy is hunting him. But when he receives a cryptic code from an anonymous source, he risks everything to save the only person that can solve it: Dr. Kate Warner.Now Kate and David must race to unravel a global conspiracy and learn the truth about the Atlantis Gene… and human origins. Their journey takes them to the far corners of the globe and into the secrets of their pasts. The Immari are close on their heels and will stop at nothing to find the Atlantis Gene and force the next stage of human evolution — even if it means killing 99.9% of the world’s population. David and Kate can stop them… if they can trust each other. And stay alive.------ About ------THE ATLANTIS GENE is a thought-provoking techno-thriller about global genetic experiments, ancient conspiracies, and the mysteries of human evolution. Its complex characters and historical and scientific details will stay with you long after you finish. This sci-fi adventure is the first book in A.G. Riddle’s Origin Mystery Series.",,488 pages,3.7,3275,The Atlantis Gene,Science Fiction|Fiction|Thriller|Mystery|Fantasy|Abandoned|Science Fiction Fantasy|Audiobook|Adventure|Did Not Finish,https://images.gr-assets.com/books/1385398066l/17999892.jpg
